yt_url,title,author,views,views_numeric,scaled_views,date,year,thumb_url,img_id,rgn,hsl,hex,red,green,blue,hue,sat,lig,PC1,PC2,PC3,PC4,PC5
https://www.youtube.com/watch?v=nfs8NYg7yQM&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=204&pp=iAQB8AUB,Charlie Puth - Attention [Official Video],Charlie Puth,1.6B views,1600000000,106.6666667,7 years ago,2017,https://img.youtube.com/vi/nfs8NYg7yQM/hqdefault.jpg,nfs8NYg7yQM,"rgb(20, 34, 48)",hsl(210 41% 13%),#142230,20,34,48,210,41,13,-1.525188808,0.9462040471,0.4456248262,0.1234834296,0.09381116074
https://www.youtube.com/watch?v=LjxulQ1bEWg&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=207&pp=iAQB8AUB,Tyga - Taste (Official Video) ft. Offset,Tyga,1.6B views,1600000000,106.6666667,6 years ago,2018,https://img.youtube.com/vi/LjxulQ1bEWg/hqdefault.jpg,LjxulQ1bEWg,"rgb(147, 178, 211)",hsl(211 42% 70%),#93b2d3,147,178,211,211,42,70,2.480886282,0.9312182326,-0.08898580364,0.3506557474,0.05940242735
https://www.youtube.com/watch?v=uO59tfQ2TbA&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=189&pp=iAQB8AUB,"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",David Guetta,1.6B views,1600000000,106.6666667,9 years ago,2015,https://img.youtube.com/vi/uO59tfQ2TbA/hqdefault.jpg,uO59tfQ2TbA,"rgb(202, 166, 126)",hsl(32 42% 64%),#caa67e,202,166,126,32,42,64,1.556189204,-0.5915054618,0.7506953565,-0.2494733135,0.04556849965
https://www.youtube.com/watch?v=fWNaR-rxAic&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=191&pp=iAQB8AUB,Carly Rae Jepsen - Call Me Maybe,Carly Rae Jepsen,1.6B views,1600000000,106.6666667,12 years ago,2012,https://img.youtube.com/vi/fWNaR-rxAic/hqdefault.jpg,fWNaR-rxAic,"rgb(205, 164, 130)",hsl(27 43% 66%),#cda482,205,164,130,27,43,66,1.626837606,-0.6039340971,0.7992443267,-0.2129003342,-0.03395953814
https://www.youtube.com/watch?v=foE1mO2yM04&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=184&pp=iAQB8AUB,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),Mike Posner,1.6B views,1600000000,106.6666667,8 years ago,2016,https://img.youtube.com/vi/foE1mO2yM04/hqdefault.jpg,foE1mO2yM04,"rgb(50, 44, 19)",hsl(48 45% 14%),#322c13,50,44,19,48,45,14,-1.58884766,-0.3152733163,1.234407567,-0.04877577168,0.1226119479
https://www.youtube.com/watch?v=VbfpW0pbvaU&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=206&pp=iAQB8AUB,Shawn Mendes - Stitches (Official Music Video),Shawn Mendes,1.6B views,1600000000,106.6666667,9 years ago,2015,https://img.youtube.com/vi/VbfpW0pbvaU/hqdefault.jpg,VbfpW0pbvaU,"rgb(24, 13, 8)",hsl(19 50% 6%),#180d08,24,13,8,19,50,6,-2.102810362,-0.400917742,1.604587473,0.181525714,-0.002107735237
https://www.youtube.com/watch?v=3X9wEwulYhk&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=195&pp=iAQB8AUB,Wisin - Escápate Conmigo (Official Video) ft. Ozuna,Wisin,1.6B views,1600000000,106.6666667,7 years ago,2017,https://img.youtube.com/vi/3X9wEwulYhk/hqdefault.jpg,3X9wEwulYhk,"rgb(215, 160, 127)",hsl(22 52% 67%),#d7a07f,215,160,127,22,52,67,1.645814085,-0.4714750402,1.2071345,-0.2236115561,-0.09472016839
https://www.youtube.com/watch?v=BBAyRBTfsOU&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=205&pp=iAQB8AUB,"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D | Bhushan Kumar | Radhika Rao, Vinay Sapru",T-Series,1.6B views,1600000000,106.6666667,5 years ago,2019,https://img.youtube.com/vi/BBAyRBTfsOU/hqdefault.jpg,BBAyRBTfsOU,"rgb(223, 143, 120)",hsl(13 62% 67%),#df8f78,223,143,120,13,62,67,1.499242336,-0.3344786967,1.691258491,-0.1844170498,-0.2707538187
https://www.youtube.com/watch?v=kkx-7fsiWgg&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=208&pp=iAQB8AUB,22. Hasta el Amanecer - Nicky Jam | Video Oficial,NickyJamTV,1.6B views,1600000000,106.6666667,8 years ago,2016,https://img.youtube.com/vi/kkx-7fsiWgg/hqdefault.jpg,kkx-7fsiWgg,"rgb(39, 134, 168)",hsl(196 62% 41%),#2786a8,39,134,168,196,62,41,1.180736766,1.237712922,0.9840400519,0.6129627943,0.407127853
https://www.youtube.com/watch?v=3JWTaaS7LdU&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=190&pp=iAQB8AUB,Whitney Houston - I Will Always Love You (Official 4K Video),Whitney Houston,1.6B views,1600000000,106.6666667,14 years ago,2010,https://img.youtube.com/vi/3JWTaaS7LdU/hqdefault.jpg,3JWTaaS7LdU,"rgb(234, 172, 140)",hsl(20 69% 73%),#eaac8c,234,172,140,20,69,73,2.109122003,-0.1694831272,1.887309367,-0.2063494895,-0.10994389
